

LoanName;Month;Payment;Interest;Principal;BalanceAfter
StudentLoan;1;2353.67;500.00;1853.67;48146.33
StudentLoan;2;2353.67;481.46;1872.21;46274.12
StudentLoan;3;2353.67;462.74;1890.93;44383.19
StudentLoan;4;2353.67;443.83;1909.84;42473.35
StudentLoan;5;2353.67;424.73;1928.94;40544.41
StudentLoan;6;2353.67;405.44;1948.23;38596.18
StudentLoan;7;2353.67;385.96;1967.71;36628.47
StudentLoan;8;2353.67;366.28;1987.39;34641.08
StudentLoan;9;2353.67;346.41;2007.26;32633.82
StudentLoan;10;2353.67;326.34;2027.33;30606.49
StudentLoan;11;2353.67;306.06;2047.61;28558.88
StudentLoan;12;2353.67;285.59;2068.08;26490.80
StudentLoan;13;2353.67;264.91;2088.76;24402.04
StudentLoan;14;2353.67;244.02;2109.65;22292.39
StudentLoan;15;2353.67;222.92;2130.75;20161.64
StudentLoan;16;2353.67;201.62;2152.05;18009.59
StudentLoan;17;2353.67;180.10;2173.57;15836.02
StudentLoan;18;2353.67;158.36;2195.31;13640.71
StudentLoan;19;2353.67;136.41;2217.26;11423.45
StudentLoan;20;2353.67;114.23;2239.44;9184.01
StudentLoan;21;2353.67;91.84;2261.83;6922.18
StudentLoan;22;2353.67;69.22;2284.45;4637.73
StudentLoan;23;2353.67;46.38;2307.29;2330.44
StudentLoan;24;2353.74;23.30;2330.44;0.00

LoanName;Month;Payment;Interest;Principal;BalanceAfter
CarLoan2025;1;8143.89;4083.33;4060.56;345939.44
CarLoan2025;2;8143.89;4035.96;4107.93;341831.51
CarLoan2025;3;8143.89;3988.03;4155.86;337675.65
CarLoan2025;4;8143.89;3939.55;4204.34;333471.31
CarLoan2025;5;8143.89;3890.50;4253.39;329217.92
CarLoan2025;6;8143.89;3840.88;4303.01;324914.91
CarLoan2025;7;8143.89;3790.67;4353.22;320561.69
CarLoan2025;8;8143.89;3739.89;4404.00;316157.69
CarLoan2025;9;8143.89;3688.51;4455.38;311702.31
CarLoan2025;10;8143.89;3636.53;4507.36;307194.95
CarLoan2025;11;8143.89;3583.94;4559.95;302635.00
CarLoan2025;12;8143.89;3530.74;4613.15;298021.85
CarLoan2025;13;8143.89;3476.92;4666.97;293354.88
CarLoan2025;14;8143.89;3422.47;4721.42;288633.46
CarLoan2025;15;8143.89;3367.39;4776.50;283856.96
CarLoan2025;16;8143.89;3311.66;4832.23;279024.73
CarLoan2025;17;8143.89;3255.29;4888.60;274136.13
CarLoan2025;18;8143.89;3198.25;4945.64;269190.49
CarLoan2025;19;8143.89;3140.56;5003.33;264187.16
CarLoan2025;20;8143.89;3082.18;5061.71;259125.45
CarLoan2025;21;8143.89;3023.13;5120.76;254004.69
CarLoan2025;22;8143.89;2963.39;5180.50;248824.19
CarLoan2025;23;8143.89;2902.95;5240.94;243583.25
CarLoan2025;24;8143.89;2841.80;5302.09;238281.16
CarLoan2025;25;8143.89;2779.95;5363.94;232917.22
CarLoan2025;26;8143.89;2717.37;5426.52;227490.70
CarLoan2025;27;8143.89;2654.06;5489.83;222000.87
CarLoan2025;28;8143.89;2590.01;5553.88;216446.99
CarLoan2025;29;8143.89;2525.21;5618.68;210828.31
CarLoan2025;30;8143.89;2459.66;5684.23;205144.08
CarLoan2025;31;8143.89;2393.35;5750.54;199393.54
CarLoan2025;32;8143.89;2326.26;5817.63;193575.91
CarLoan2025;33;8143.89;2258.39;5885.50;187690.41
CarLoan2025;34;8143.89;2189.72;5954.17;181736.24
CarLoan2025;35;8143.89;2120.26;6023.63;175712.61
CarLoan2025;36;8143.89;2049.98;6093.91;169618.70
CarLoan2025;37;8143.89;1978.88;6165.01;163453.69
CarLoan2025;38;8143.89;1906.96;6236.93;157216.76
CarLoan2025;39;8143.89;1834.20;6309.69;150907.07
CarLoan2025;40;8143.89;1760.58;6383.31;144523.76
CarLoan2025;41;8143.89;1686.11;6457.78;138065.98
CarLoan2025;42;8143.89;1610.77;6533.12;131532.86
CarLoan2025;43;8143.89;1534.55;6609.34;124923.52
CarLoan2025;44;8143.89;1457.44;6686.45;118237.07
CarLoan2025;45;8143.89;1379.43;6764.46;111472.61
CarLoan2025;46;8143.89;1300.51;6843.38;104629.23
